INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video,Home_Controller,AirConditioner,DoorLock,Lamp,TV,Vacuum,Washer
136,2020-06-16,4:36:44,16604,1,0,0,0,0,0,0,1,0,0,1,0,0,0
137,2020-06-16,4:36:45,16605,1,0,0,0,0,0,0,1,0,0,1,0,0,0
138,2020-06-16,4:36:46,16606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,1,0,0
139,2020-06-16,4:36:47,16607,1,0,0,0,0,0,0,1,0,0,1,1,0,0
140,2020-06-16,4:36:47,16607,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,2020-06-16,4:36:48,16608,1,0,0,0,0,0,0,1,0,0,1,1,0,0
142,2020-06-16,4:36:49,16609,1,0,0,0,0,0,0,1,0,0,1,1,0,0
143,2020-06-16,4:36:50,16610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,1,0,0
144,2020-06-16,4:36:51,16611,1,0,0,0,0,0,0,1,0,0,1,0,0,0
145,2020-06-16,4:36:52,16612,1,0,0,0,0,0,0,1,0,0,0,0,0,0
146,2020-06-16,4:36:53,16613,1,0,0,0,0,0,0,1,0,0,0,0,0,0
147,2020-06-16,4:36:54,16614,1,0,0,0,0,0,0,1,0,0,0,0,0,0
148,2020-06-16,4:36:55,16615,1,0,0,0,0,0,0,1,0,0,0,0,0,0
149,2020-06-16,4:36:56,16616,1,0,0,0,0,0,0,1,0,0,0,0,0,0
150,2020-06-16,4:36:57,16617,1,0,0,0,0,0,0,1,0,0,0,0,0,0
151,2020-06-16,4:36:58,16618,1,0,0,0,0,0,0,1,0,0,0,0,0,0
152,2020-06-16,4:36:59,16619,1,0,0,0,0,0,0,1,0,0,0,0,0,0
153,2020-06-16,4:37:00,16620,1,0,0,0,0,0,0,1,0,0,0,0,0,0
154,2020-06-16,4:37:01,16621,1,0,0,0,0,0,0,1,0,0,0,0,0,0
155,2020-06-16,4:37:02,16622,1,0,0,0,0,0,0,1,0,0,0,0,0,0
156,2020-06-16,4:37:03,16623,1,1,0,0,0,0,0,1,0,0,0,0,0,0
157,2020-06-16,4:37:04,16624,1,1,0,0,0,0,0,1,0,0,0,0,0,0
158,2020-06-16,4:37:05,16625,1,1,0,0,0,0,0,1,0,0,0,0,0,0
159,2020-06-16,4:37:06,16626,1,1,0,0,0,0,0,1,0,0,0,0,0,0
160,2020-06-16,4:37:07,16627,1,1,0,0,0,0,0,1,0,0,0,0,0,0
161,2020-06-16,4:37:08,16628,1,1,0,0,0,0,0,1,0,0,1,0,0,0
162,2020-06-16,4:37:09,16629,1,0,0,0,0,0,0,1,0,0,1,0,0,0
163,2020-06-16,4:37:10,16630,1,0,0,0,0,0,0,1,0,0,1,0,0,0
164,2020-06-16,4:37:11,16631,1,0,0,0,0,0,0,1,0,0,1,0,0,0
165,2020-06-16,4:37:12,16632,1,0,0,0,0,0,0,1,0,0,1,0,0,0
166,2020-06-16,4:37:13,16633,1,0,0,0,0,0,0,1,0,0,1,0,0,0
167,2020-06-16,4:37:14,16634,1,0,0,0,0,0,0,1,0,0,1,0,0,0
168,2020-06-16,4:37:15,16635,1,0,0,0,0,0,0,1,0,0,1,0,0,0
169,2020-06-16,4:37:16,16636,1,0,0,0,0,0,0,1,0,0,1,0,0,0
170,2020-06-16,4:37:17,16637,1,0,0,0,0,0,0,1,0,0,1,0,0,0
171,2020-06-16,4:37:18,16638,1,0,0,0,0,0,0,1,0,0,1,0,0,0
172,2020-06-16,4:37:19,16639,1,0,0,0,0,0,0,1,0,0,1,1,0,0
173,2020-06-16,4:37:20,16640,1,0,0,0,0,0,0,1,0,0,1,1,0,0
174,2020-06-16,4:37:21,16641,1,0,0,0,0,0,0,1,0,0,1,1,0,0
175,2020-06-16,4:37:22,16642,1,0,0,0,0,0,0,1,0,0,1,1,0,0
176,2020-06-16,4:37:23,16643,1,0,0,0,0,0,0,1,0,0,1,0,0,0
177,2020-06-16,4:37:24,16644,1,0,0,0,0,0,0,1,0,0,0,0,0,0
178,2020-06-16,4:37:25,16645,1,0,0,0,0,0,0,1,0,0,0,0,0,0
179,2020-06-16,4:37:26,16646,1,0,0,0,0,0,0,1,0,0,0,0,0,0
180,2020-06-16,4:37:27,16647,1,0,0,0,0,0,0,1,0,0,0,0,0,0
181,2020-06-16,4:37:28,16648,1,0,0,0,0,0,0,1,0,0,0,0,0,0
182,2020-06-16,4:37:29,16649,1,0,0,0,0,0,0,1,0,0,0,0,0,0
183,2020-06-16,4:37:30,16650,1,0,0,0,0,0,0,1,0,0,0,0,0,0
184,2020-06-16,4:37:31,16651,1,0,0,0,0,0,0,1,0,0,0,0,0,0
185,2020-06-16,4:37:32,16652,1,0,0,0,0,0,0,1,0,0,0,0,0,0
186,2020-06-16,4:37:33,16653,1,0,0,0,0,0,0,1,0,0,0,0,0,0
187,2020-06-16,4:37:34,16654,1,0,0,0,0,0,0,1,0,0,0,0,0,0
188,2020-06-16,4:37:35,16655,1,1,0,0,0,0,0,1,0,0,0,0,0,0
189,2020-06-16,4:37:36,16656,1,1,0,0,0,0,0,1,0,0,0,0,0,0
190,2020-06-16,4:37:37,16657,1,1,0,0,0,0,0,1,0,0,0,0,0,0
191,2020-06-16,4:37:38,16658,1,1,0,0,0,0,0,1,0,0,0,0,0,0
192,2020-06-16,4:37:39,16659,1,1,0,0,0,0,0,1,0,0,0,0,0,0
193,2020-06-16,4:37:40,16660,1,1,0,0,0,0,0,1,0,0,1,0,0,0
194,2020-06-16,4:37:41,16661,1,0,0,0,0,0,0,1,0,0,1,0,0,0
195,2020-06-16,4:37:42,16662,1,0,0,0,0,0,0,1,0,0,1,0,0,0
196,2020-06-16,4:37:43,16663,1,0,0,0,0,0,0,1,0,0,1,0,0,0
197,2020-06-16,4:37:44,16664,1,0,0,0,0,0,0,1,0,0,1,0,0,0
198,2020-06-16,4:37:45,16665,1,0,0,0,0,0,0,1,0,0,1,0,0,0
199,2020-06-16,4:37:46,16666,1,0,0,0,0,0,0,1,0,0,1,0,0,0
200,2020-06-16,4:37:47,16667,1,0,0,0,0,0,0,1,0,0,1,0,0,0
201,2020-06-16,4:37:48,16668,1,0,0,0,0,0,0,1,0,0,1,0,0,0
202,2020-06-16,4:37:49,16669,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,2020-06-16,4:37:50,16670,1,0,0,0,0,0,0,1,0,0,1,0,0,0
204,2020-06-16,4:37:51,16671,1,0,0,0,0,0,0,1,0,0,1,0,0,0
205,2020-06-16,4:37:52,16672,1,0,0,0,0,0,0,1,0,0,1,1,0,0
206,2020-06-16,4:37:53,16673,1,0,0,0,0,0,0,1,0,0,1,1,0,0
207,2020-06-16,4:37:54,16674,1,0,0,0,0,0,0,1,0,0,1,1,0,0
208,2020-06-16,4:37:55,16675,1,0,0,0,0,0,0,1,0,0,1,1,0,0
209,2020-06-16,4:37:56,16676,1,0,0,0,0,0,0,1,0,0,1,0,0,0
210,2020-06-16,4:37:57,16677,1,0,0,0,0,0,0,1,0,0,0,0,0,0
211,2020-06-16,4:37:58,16678,1,0,0,0,0,0,0,1,0,0,0,0,0,0
212,2020-06-16,4:37:59,16679,1,0,0,0,0,0,0,1,0,0,0,0,0,0
213,2020-06-16,4:38:00,16680,1,0,0,0,0,0,0,1,0,0,0,0,0,0
214,2020-06-16,4:38:01,16681,1,0,0,0,0,0,0,1,0,0,0,0,0,0
215,2020-06-16,4:38:02,16682,1,0,0,0,0,0,0,1,0,0,0,0,0,0
216,2020-06-16,4:38:03,16683,1,0,0,0,0,0,0,1,0,0,0,0,0,0
217,2020-06-16,4:38:04,16684,1,0,0,0,0,0,0,1,0,0,0,0,0,0
218,2020-06-16,4:38:05,16685,1,0,0,0,0,0,0,1,0,0,0,0,0,0
219,2020-06-16,4:38:06,16686,1,1,0,0,0,0,0,1,0,0,0,0,0,0
220,2020-06-16,4:38:07,16687,1,1,0,0,0,0,0,1,0,0,0,0,0,0
221,2020-06-16,4:38:08,16688,1,1,0,0,0,0,0,1,0,0,0,0,0,0
222,2020-06-16,4:38:09,16689,1,1,0,0,0,0,0,1,0,0,0,0,0,0
223,2020-06-16,4:38:10,16690,1,1,0,0,0,0,0,1,0,0,0,0,0,0
224,2020-06-16,4:38:11,16691,1,1,0,0,0,0,0,1,0,0,0,0,0,0
225,2020-06-16,4:38:12,16692,1,0,0,0,0,0,0,1,0,0,0,0,0,0
226,2020-06-16,4:38:13,16693,1,0,0,0,0,0,0,1,0,0,1,0,0,0
227,2020-06-16,4:38:14,16694,1,0,0,0,0,0,0,1,0,0,1,0,0,0
228,2020-06-16,4:38:15,16695,1,0,0,0,0,0,0,1,0,0,1,0,0,0
229,2020-06-16,4:38:16,16696,1,0,0,0,0,0,0,1,0,0,1,0,0,0
230,2020-06-16,4:38:17,16697,1,0,0,0,0,0,0,1,0,0,1,0,0,0
231,2020-06-16,4:38:18,16698,1,0,0,0,0,0,0,1,0,0,1,0,0,0
232,2020-06-16,4:38:19,16699,1,0,0,0,0,0,0,1,0,0,1,0,0,0
233,2020-06-16,4:38:20,16700,1,0,0,0,0,0,0,1,0,0,1,0,0,0
234,2020-06-16,4:38:21,16701,1,0,0,0,0,0,0,1,0,0,1,0,0,0
235,2020-06-16,4:38:22,16702,1,0,0,0,0,0,0,1,0,0,1,0,0,0
236,2020-06-16,4:38:23,16703,1,0,0,0,0,0,0,1,0,0,1,0,0,0
237,2020-06-16,4:38:24,16704,1,0,0,0,0,0,0,1,0,0,1,1,0,0
238,2020-06-16,4:38:25,16705,1,0,0,0,0,0,0,1,0,0,1,1,0,0
239,2020-06-16,4:38:26,16706,1,0,0,0,0,0,0,1,0,0,1,1,0,0
240,2020-06-16,4:38:27,16707,1,0,0,0,0,0,0,1,0,0,1,1,0,0
241,2020-06-16,4:38:28,16708,1,0,0,0,0,0,0,1,0,0,1,0,0,0
242,2020-06-16,4:38:29,16709,1,0,0,0,0,0,0,1,0,0,0,0,0,0
243,2020-06-16,4:38:30,16710,1,0,0,0,0,0,0,1,0,0,0,0,0,0
244,2020-06-16,4:38:31,16711,1,0,0,0,0,0,0,1,0,0,0,0,0,0
245,2020-06-16,4:38:32,16712,1,0,0,0,0,0,0,1,0,0,0,0,0,0
246,2020-06-16,4:38:33,16713,1,0,0,0,0,0,0,1,0,0,0,0,0,0
247,2020-06-16,4:38:34,16714,1,0,0,0,0,0,0,1,0,0,0,0,0,0
248,2020-06-16,4:38:35,16715,1,0,0,0,0,0,0,1,0,0,0,0,0,0
249,2020-06-16,4:38:36,16716,1,0,0,0,0,0,0,1,0,0,0,0,0,0
250,2020-06-16,4:38:37,16717,1,0,0,0,0,0,0,1,0,0,0,0,0,0
251,2020-06-16,4:38:38,16718,1,1,0,0,0,0,0,1,0,0,0,0,0,0
252,2020-06-16,4:38:39,16719,1,1,0,0,0,0,0,1,0,0,0,0,0,0
253,2020-06-16,4:38:40,16720,1,1,0,0,0,0,0,1,0,0,0,0,0,0
254,2020-06-16,4:38:41,16721,1,1,0,0,0,0,0,1,0,0,0,0,0,0
255,2020-06-16,4:38:42,16722,1,1,0,0,0,0,0,1,0,0,0,0,0,0
256,2020-06-16,4:38:43,16723,1,1,0,0,0,0,0,1,0,0,0,0,0,0
257,2020-06-16,4:38:44,16724,1,0,0,0,0,0,0,1,0,0,0,0,0,0
258,2020-06-16,4:38:45,16725,1,0,0,0,0,0,0,1,0,0,1,0,0,0
259,2020-06-16,4:38:46,16726,1,0,0,0,0,0,0,1,0,0,1,0,0,0
260,2020-06-16,4:38:47,16727,1,0,0,0,0,0,0,1,0,0,1,0,0,0
261,2020-06-16,4:38:48,16728,1,0,0,0,0,0,0,1,0,0,1,0,0,0
262,2020-06-16,4:38:49,16729,1,0,0,0,0,0,0,1,0,0,1,0,0,0
